PlayerID_x,Name,Team,Position,Games,Income,Points,Rebounds,Assists,BlockedShots,Steals
20001391,Jahlil Okafor,PHI,C,50,4788840,590,240,58,49,19
20001672,Jaylen Brown,BOS,SG,78,4743000,515,221,64,18,36
20000847,Marcus Morris,DET,PF,79,4625000,1105,369,160,25,52
20000693,Jameer Nelson,DEN,PG,75,4540525,687,190,385,8,54
20000716,Nerlens Noel,DAL,C,51,4384490,445,295,50,50,64
20000681,Aaron Gordon,ORL,PF,80,4351320,1019,405,150,40,65
20001406,Kristaps Porzingis,NY,PF,66,4317720,1196,475,97,129,47
20000638,Vince Carter,MEM,SG,73,4264057,586,226,133,36,60
20000534,Devin Harris,DAL,PG,65,4227996,437,127,136,6,43
20000531,J.J. Barea,DAL,PG,35,4096950,381,83,193,1,14
20000864,Ben McLemore,SAC,SG,61,4008882,495,128,51,6,29
20000489,Leandro Barbosa,PHO,SG,67,4000000,419,106,81,8,31
20000449,Kris Humphries,ATL,PF,56,4000000,257,205,29,21,15
20000841,Dante Exum,UTA,PG,66,3940320,412,134,110,12,22
20000677,Kyle O'Quinn,NY,C,79,3918750,496,438,117,105,37
20001403,Mario Hezonja,ORL,SG,65,3909840,317,147,62,14,29
20001670,Kris Dunn,MIN,PG,78,3872520,293,165,188,36,78
20000615,Thabo Sefolosha,ATL,SF,62,3850000,444,271,107,31,92
20001429,Nemanja Bjelica,MIN,PF,65,3800000,403,245,79,20,40
20000591,Bojan Bogdanovic,WAS,SF,81,3730653,1113,279,111,7,34
20000811,Kentavious Caldwell-Pope,DET,SG,76,3678319,1047,248,193,12,90
20000656,Patty Mills,SA,PG,80,3578948,759,143,279,3,66
20000560,Marcus Smart,BOS,PG,79,3578880,835,307,364,33,125
20001461,Willie Cauley-Stein,SAC,C,75,3551160,611,336,80,45,52
20000887,Will Barton,DEN,SG,60,3533333,820,259,206,30,45
20001673,Buddy Hield,SAC,SG,82,3517200,866,270,121,10,37
20000698,Troy Daniels,MEM,SG,67,3332940,551,99,46,3,20
20000710,Julius Randle,LAL,PF,74,3267120,975,635,264,37,49
20001442,Emmanuel Mudiay,DEN,PG,55,3241800,603,179,217,13,41
20001666,Jamal Murray,DEN,PG,82,3210840,811,213,171,24,53
20000501,Michael Carter-Williams,CHI,PG,45,3183526,297,152,113,24,38
20000875,Steven Adams,OKC,C,80,3140517,905,612,86,79,87
20000564,Kelly Olynyk,BOS,C,75,3094014,678,360,148,28,44
