Rank,PlayerID,Name,Team,Position,Games,Points,Rebounds,Assists,BlockedShots,Steals,FieldGoalsPercentage,FreeThrowsPercentage,ThreePointersPercentage,FreeThrowsMade,TwoPointersMade,ThreePointersMade,Turnovers,Minutes,DoubleDoubles,TripleDoubles,FantasyPoints
80,20000562,Jae Crowder,BOS,PF,72,999,419,155,23,72,46.2,81.1,39.8,176,176,157,79,2332,7,0,1845.3
81,20000748,Michael Kidd-Gilchrist,CHA,SF,81,743,563,113,76,79,47.7,78.4,11.1,152,294,1,56,2348,11,0,1842.1
82,20000903,Robert Covington,PHI,SF,67,864,435,103,68,127,39.8,82.2,33.2,143,155,137,131,2121,12,0,1799.5
83,20000471,Eric Gordon,HOU,SG,75,1217,202,188,39,48,40.6,84,37.2,147,166,246,120,2323,0,0,1795.4
84,20000577,Tristan Thompson,CLE,C,78,630,718,77,85,39,60,49.8,0,106,262,0,65,2336,19,0,1790.1
85,20001525,T.J. McConnell,PHI,PG,81,556,250,535,10,133,46.1,81.1,20,73,225,11,159,2133,5,0,1785.5
86,20000822,Danilo Gallinari,DEN,SF,63,1145,323,136,15,41,44.7,90.2,38.8,349,209,126,80,2134,4,0,1768.6
87,20000618,Robin Lopez,CHI,C,81,839,518,81,118,18,49.3,72.1,0,75,382,0,89,2271,9,0,1765.1
88,20000749,Marvin Williams,CHA,PF,76,849,494,106,54,58,42.2,87.3,35.1,131,173,124,60,2295,11,0,1764.8
89,20000689,Victor Oladipo,OKC,SG,67,1067,291,176,22,77,44.3,75.3,36.1,116,285,127,119,2222,2,0,1759.2
90,20000811,Kentavious Caldwell-Pope,DET,SG,76,1047,248,193,12,90,39.9,83.2,35,154,217,153,86,2528,1,0,1752.1
91,20000901,Ish Smith,DET,PG,81,758,233,419,33,61,44,70.6,26.7,72,301,28,112,1955,3,0,1742.1
92,20001458,D'Angelo Russell,LAL,PG,63,984,223,302,16,88,40.5,78.2,35.1,147,216,135,176,1810,2,0,1736.6
93,20000835,Enes Kanter,OKC,C,72,1033,483,67,38,31,54.5,78.6,13.2,224,397,5,123,1532,18,0,1728.1
94,20000587,Thaddeus Young,IND,PF,74,814,448,120,30,114,52.7,52.3,38.1,45,317,45,95,2236,7,0,1724.6
95,20000512,Pau Gasol,SA,C,64,792,499,150,70,24,50.2,70.7,53.8,130,247,56,81,1626,11,0,1722.8
96,20000679,Evan Fournier,ORL,SF,69,1167,209,202,4,67,44,80.5,35.7,223,280,128,141,2233,1,0,1721.8
97,20000788,Tim Hardaway Jr.,ATL,SF,79,1143,224,183,16,54,45.5,76.6,35.7,164,266,149,106,2153,0,0,1720.3
98,20000530,Rajon Rondo,CHI,PG,69,538,358,459,11,100,40.8,60,37.6,30,179,50,168,1842,6,1,1710.1
99,20000629,Wesley Matthews,DAL,SG,73,986,261,210,16,74,39.3,81.6,36.3,146,159,174,102,2494,0,0,1692.2
100,20000549,Clint Capela,HOU,C,65,818,526,64,80,34,64.4,53.1,0,94,362,0,87,1551,15,0,1686.2
